sameAsWork,guid,work_title,user_name,user_mail,status,promote,sticky,lng,issued,field_creator_url,field_creator_title,field_access,formats,simple_type,field_subject_area,field_ddc,languages,field_topic,field_location_taxonomize_terms,field_license,field_ilc,field_autor,alt_title,english_title,description,country,locality,postal_code,street,field_contact
http://publications.europa.eu/resource/dataset/access-right,dba15ccb-a455-11e7-837e-01aa75ed71a1.0001.06,Access right,PublicationsEuropeEU,op-eu-vocabularies@publications.europa.eu,1,1,0,EN,2019-02-20,http://viaf.org/viaf/229069752,Publications Office of the European Union,Free,SKOS,name authority list,"General works, Computer science and Information",001 Knowledge,English,government,Luxembourg,CC BY-SA: Creative Commons Attribution-ShareAlike License,V: general class,Publications Office of the European Union,Access right name authority list,Access right,The Access right NAL provides the access rights or restrictions to resources. It is designed for but not limited to DCAT descriptions of datasets.,LU,Luxembourg,L-2985,2 rue Mercier,OP-EU-VOCABULARIES@publications.europa.eu
http://publications.europa.eu/resource/dataset/accessibility,d0004ddf-d898-11e9-9c4e-01aa75ed71a1.0001.03,Accessibility,PublicationsEuropeEU,op-eu-vocabularies@publications.europa.eu,1,1,0,EN,2019-09-18,http://viaf.org/viaf/229069752,Publications Office of the European Union,Free,SKOS,name authority list,"General works, Computer science and Information",001 Knowledge,English,government,Luxembourg,CC BY-SA: Creative Commons Attribution-ShareAlike License,V: general class,Publications Office of the European Union,Accessibility name authority list,Accessibility,This table provides a list of options for the use of accessibility criteria for person with disabilities in the technical specifications within the domain of public procurement.,LU,Luxembourg,L-2985,2 rue Mercier,OP-EU-VOCABULARIES@publications.europa.eu
http://publications.europa.eu/resource/dataset/address-type,8c0e3b59-261d-11e8-ac73-01aa75ed71a1.0001.02,Address type,PublicationsEuropeEU,op-eu-vocabularies@publications.europa.eu,1,1,0,EN,2015-02-17,http://viaf.org/viaf/229069752,Publications Office of the European Union,Free,SKOS,name authority list,"General works, Computer science and Information",001 Knowledge,English,government,Luxembourg,CC BY-SA: Creative Commons Attribution-ShareAlike License,V: general class,Publications Office of the European Union,Address type name authority list,Address type,This table provides the address types as used in the EU Whoiswho.,LU,Luxembourg,L-2985,2 rue Mercier,OP-EU-VOCABULARIES@publications.europa.eu
http://publications.europa.eu/resource/dataset/applicability,cd48cef8-d898-11e9-9c4e-01aa75ed71a1.0001.03,Applicability,PublicationsEuropeEU,op-eu-vocabularies@publications.europa.eu,1,1,0,EN,2019-09-18,http://viaf.org/viaf/229069752,Publications Office of the European Union,Free,SKOS,name authority list,"General works, Computer science and Information",001 Knowledge,English,government,Luxembourg,CC BY-SA: Creative Commons Attribution-ShareAlike License,V: general class,Publications Office of the European Union,Applicability name authority list,Applicability,This table provides a list of the options pertinent to be chosen for a matter concerning the applicability of predefined fields. It is designed for but not restricted to the context of public procurement.,LU,Luxembourg,L-2985,2 rue Mercier,OP-EU-VOCABULARIES@publications.europa.eu
http://publications.europa.eu/resource/dataset/atu,cd9bffe5-25f8-11e8-ac73-01aa75ed71a1.0001.02,Administrative territorial unit,PublicationsEuropeEU,op-eu-vocabularies@publications.europa.eu,1,1,0,EN,2019-02-20,http://viaf.org/viaf/229069752,Publications Office of the European Union,Free,SKOS,name authority list,"General works, Computer science and Information",001 Knowledge,English,government,Luxembourg,CC BY-SA: Creative Commons Attribution-ShareAlike License,V: general class,Publications Office of the European Union,Administrative territorial unit name authority list,Administrative territorial unit,"This table provides the list of the various administrative territorial units of the EU Member States.The name of each territorial unit can be found in the ""Administrative territorial unit types"" (ATTY) table.Due to the large volume of lowest level administrative units (local authority, municipality) in certain countries, these units have not yet been fully implemented.The lists of codes represent the administrative territorial units, based on national official / legal information and the ISO 3166-2 standard. Differences can be noticed due to the rapid changes occurring in the countries.The codes have been created, as far as possible, by integrating the code used in UNECE http://www.unece.org/cefact/locode/service/location.htmlThe administrative territorial units must not be confused with the Nomenclature of Territorial Units for Statistics (NUTS). The NUTS is delineated according to the population living in the territorial unit and is used in an economical / statistical environment. More information can be found on http://ec.europa.eu/eurostat/web/nuts/principles-and-characteristicsThe administrative territorial units must not be confused with the jurisdiction territories designed for the competence area of Courts.In certain countries, the subdivisions may be the same for the administrative, economical, statistical and jurisdiction units.",LU,Luxembourg,L-2985,2 rue Mercier,OP-EU-VOCABULARIES@publications.europa.eu
http://publications.europa.eu/resource/dataset/atu-type,baae3b00-2611-11e8-ac73-01aa75ed71a1.0001.02,Administrative territorial unit type,PublicationsEuropeEU,op-eu-vocabularies@publications.europa.eu,1,1,0,EN,2016-12-14,http://viaf.org/viaf/229069752,Publications Office of the European Union,Free,SKOS,name authority list,"General works, Computer science and Information",001 Knowledge,English,government,Luxembourg,CC BY-SA: Creative Commons Attribution-ShareAlike License,V: general class,Publications Office of the European Union,Administrative territorial unit type name authority list,Administrative territorial unit type,"This table provides the various types of administrative territorial units within the Member States of the European Union. It is linked to the ""Administrative territorial units (ATU)"" table that provides the list of the subdivisions per country.The categorization of these types is based on national official information and the Committee of the Regions of the European Union has provided the translations in all official languages of the European Union. The ISO 3166-2 standard has also been used. Where there are differences in the territorial unit types and the ISO code, the legal basis of the country concerned has taken precedence.An administrative unit is defined for the purpose of administration with a certain degree of autonomy and is country specific. The administrative unit refers to public administration for which the administrative law is applicable.The administrative territorial unit types must not be confused with the Nomenclature of Territorial Units for Statistics (NUTS). The NUTS is delineated according to the population living in the territorial unit and is used in an economical / statistical environment. More information can be found on http://ec.europa.eu/eurostat/web/nuts/principles-and-characteristicsThe administrative territorial unit types must not be confused with the jurisdiction territories designed for the competence area of Courts.In certain countries, the subdivisions may be the same for the administrative, economical, statistical and jurisdiction units.",LU,Luxembourg,L-2985,2 rue Mercier,OP-EU-VOCABULARIES@publications.europa.eu
http://publications.europa.eu/resource/dataset/award-criterion-type,88eadce3-d899-11e9-9c4e-01aa75ed71a1.0001.03,Award criterion type,PublicationsEuropeEU,op-eu-vocabularies@publications.europa.eu,1,1,0,EN,2019-09-18,http://viaf.org/viaf/229069752,Publications Office of the European Union,Free,SKOS,name authority list,"General works, Computer science and Information",001 Knowledge,English,government,Luxembourg,CC BY-SA: Creative Commons Attribution-ShareAlike License,V: general class,Publications Office of the European Union,Award criterion type name authority list,Award criterion type,"This table provides the list of rules to be taken into account for the award decisions within the in public procurement procedures. The initial values are those foreseen in the public procurement directives of 2014 (Directives 2014/23/EU, 2014/24/EU and 2014/25/EU). The translations provided are those used in the Commission Implementing Regulation (EU) 2015/1986 establishing standard forms for the publication of notices in the field of public procurement.",LU,Luxembourg,L-2985,2 rue Mercier,OP-EU-VOCABULARIES@publications.europa.eu
http://publications.europa.eu/resource/dataset/browser,6df37244-91b1-11e8-8bc1-01aa75ed71a1.0001.03,Browser,PublicationsEuropeEU,op-eu-vocabularies@publications.europa.eu,1,1,0,EN,2018-07-25,http://viaf.org/viaf/229069752,Publications Office of the European Union,Free,SKOS,name authority list,"General works, Computer science and Information",001 Knowledge,English,government,Luxembourg,CC BY-SA: Creative Commons Attribution-ShareAlike License,V: general class,Publications Office of the European Union,Browser name authority list,Browser,The <b>browser</b> table provides a list of web browsers used in web crawling. It has been developed specifically for the EU Web Preservation.,LU,Luxembourg,L-2985,2 rue Mercier,OP-EU-VOCABULARIES@publications.europa.eu
http://publications.europa.eu/resource/dataset/buyer-legal-type,8561729d-d89a-11e9-9c4e-01aa75ed71a1.0001.03,Buyer legal type,PublicationsEuropeEU,op-eu-vocabularies@publications.europa.eu,1,1,0,EN,2019-09-18,http://viaf.org/viaf/229069752,Publications Office of the European Union,Free,SKOS,name authority list,"General works, Computer science and Information",001 Knowledge,English,government,Luxembourg,CC BY-SA: Creative Commons Attribution-ShareAlike License,V: general class,Publications Office of the European Union,Buyer legal type name authority list,Buyer legal type,This table provides a list of the the type of procuring authorities within the domain of public procurement according to legislation.,LU,Luxembourg,L-2985,2 rue Mercier,OP-EU-VOCABULARIES@publications.europa.eu
http://publications.europa.eu/resource/dataset/capital-classification,9225d042-26c3-11e8-ac73-01aa75ed71a1.0001.02,Capital classification,PublicationsEuropeEU,op-eu-vocabularies@publications.europa.eu,1,1,0,EN,2016-08-31,http://viaf.org/viaf/229069752,Publications Office of the European Union,Free,SKOS,name authority list,"General works, Computer science and Information",001 Knowledge,English,government,Luxembourg,CC BY-SA: Creative Commons Attribution-ShareAlike License,V: general class,Publications Office of the European Union,Capital classification name authority list,Capital classification,The Capital classification NAL provides possible locality statuses.,LU,Luxembourg,L-2985,2 rue Mercier,OP-EU-VOCABULARIES@publications.europa.eu
http://publications.europa.eu/resource/dataset/case-report,091eca89-261d-11e8-ac73-01aa75ed71a1.0001.02,Case report,PublicationsEuropeEU,op-eu-vocabularies@publications.europa.eu,1,1,0,EN,2015-02-17,http://viaf.org/viaf/229069752,Publications Office of the European Union,Free,SKOS,name authority list,"General works, Computer science and Information",001 Knowledge,English,government,Luxembourg,CC BY-SA: Creative Commons Attribution-ShareAlike License,V: general class,Publications Office of the European Union,Case report name authority list,Case report,This table provides the different names of the case law reports of the Court of Justice.,LU,Luxembourg,L-2985,2 rue Mercier,OP-EU-VOCABULARIES@publications.europa.eu
http://publications.europa.eu/resource/dataset/case-status,fe3d4c88-261c-11e8-ac73-01aa75ed71a1.0001.02,Case status,PublicationsEuropeEU,op-eu-vocabularies@publications.europa.eu,1,1,0,EN,2015-02-17,http://viaf.org/viaf/229069752,Publications Office of the European Union,Free,SKOS,name authority list,"General works, Computer science and Information",001 Knowledge,English,government,Luxembourg,CC BY-SA: Creative Commons Attribution-ShareAlike License,V: general class,Publications Office of the European Union,Case status name authority list,Case status,This table provides the different statuses used for a case at the Court of Justice.,LU,Luxembourg,L-2985,2 rue Mercier,OP-EU-VOCABULARIES@publications.europa.eu
http://publications.europa.eu/resource/dataset/change-corrig-justification,d11873a1-d898-11e9-9c4e-01aa75ed71a1.0001.03,Change corrig justification,PublicationsEuropeEU,op-eu-vocabularies@publications.europa.eu,1,1,0,EN,2019-09-18,http://viaf.org/viaf/229069752,Publications Office of the European Union,Free,SKOS,name authority list,"General works, Computer science and Information",001 Knowledge,English,government,Luxembourg,CC BY-SA: Creative Commons Attribution-ShareAlike License,V: general class,Publications Office of the European Union,Change corrig justification name authority list,Change corrig justification,This table provides the codes and values used in case of justification of correcions applied to a notice within the context of public procurement.,LU,Luxembourg,L-2985,2 rue Mercier,OP-EU-VOCABULARIES@publications.europa.eu
http://publications.europa.eu/resource/dataset/com-internal-consultation-type,9ef1e4e2-e3e8-11e7-9749-01aa75ed71a1.0001.06,COM internal consultation type,PublicationsEuropeEU,op-eu-vocabularies@publications.europa.eu,1,1,0,EN,2017-12-13,http://viaf.org/viaf/229069752,Publications Office of the European Union,Free,SKOS,name authority list,"General works, Computer science and Information",001 Knowledge,English,government,Luxembourg,CC BY-SA: Creative Commons Attribution-ShareAlike License,V: general class,Publications Office of the European Union,COM internal consultation type name authority list,COM internal consultation type,COM internal consultation type Named Authority List,LU,Luxembourg,L-2985,2 rue Mercier,OP-EU-VOCABULARIES@publications.europa.eu
http://publications.europa.eu/resource/dataset/com-internal-event,a373c385-e3e8-11e7-9749-01aa75ed71a1.0001.06,COM internal event,PublicationsEuropeEU,op-eu-vocabularies@publications.europa.eu,1,1,0,EN,2018-07-25,http://viaf.org/viaf/229069752,Publications Office of the European Union,Free,SKOS,name authority list,"General works, Computer science and Information",001 Knowledge,English,government,Luxembourg,CC BY-SA: Creative Commons Attribution-ShareAlike License,V: general class,Publications Office of the European Union,COM internal event name authority list,COM internal event,COM internal event Named Authority List,LU,Luxembourg,L-2985,2 rue Mercier,OP-EU-VOCABULARIES@publications.europa.eu
http://publications.europa.eu/resource/dataset/com-internal-procedure,de30326c-2611-11e8-ac73-01aa75ed71a1.0001.02,COM internal procedure,PublicationsEuropeEU,op-eu-vocabularies@publications.europa.eu,1,1,0,EN,2016-12-14,http://viaf.org/viaf/229069752,Publications Office of the European Union,Free,SKOS,name authority list,"General works, Computer science and Information",001 Knowledge,English,government,Luxembourg,CC BY-SA: Creative Commons Attribution-ShareAlike License,V: general class,Publications Office of the European Union,COM internal procedure name authority list,COM internal procedure,COM internal procedure Named Authority List,LU,Luxembourg,L-2985,2 rue Mercier,OP-EU-VOCABULARIES@publications.europa.eu
